Application ID,Application Type,Customer ID,Group Name ID,Action,RM ID,Entered Date,Closed Date,Next Review Date,Product ID,Start Date,Term (mths),Expiry Date,Rate Applied,Margin Agreed,Capital,Annual Interest Income,Collateral Start Date,Collateral Type,Face Value,Conversion Factor,Rating,Limits Rating,Expected Loss,Covenants,Covenant Type,Application Error
ID1148,Dealer,IFR153,GRP507,Existing,RM2034,2015-01-03,2015-04-26,2016-04-25,PRD019,2015-04-26,24,2017-04-27,3.03,0.2,6120000,197676.0,2002-06-22,Fixed Company Charge,23000000,1.0,1,8,765000.0,Conditions Subsequent,Extended,Error
ID1292,Dealer,IFR177,GRP516,Existing,RM2040,2015-01-06,2015-02-05,2016-02-05,PRD017,2015-02-05,12,2016-02-06,3.14,0.24,4870000,164605.99999999997,2010-09-18,Limited Cross Guarantee and Indemnity (supported),22400000,0.5,2,6,811666.6666666666,Reporting,Extended,No Error
ID1193,Dealer,IFR117,GRP501,New,RM2020,2015-01-10,2015-05-17,2016-05-16,PRD014,2015-05-17,12,2016-05-17,2.52,0.12,6540000,172656.0,2015-11-17,Bank Guarantee by Australian Financial Institution,21700000,0.4,2,7,934285.7142857143,Reporting,Complied,No Error
ID1197,Dealer,IFR193,GRP516,Straight,RM2012,2015-01-22,2015-04-08,2016-04-07,PRD009,2015-04-08,24,2017-04-09,3.56,0.31,4520000,174924.0,2013-07-19,Bill of Sale over business assets,17100000,0.7,5,5,904000.0,Reporting,Breached,Error
ID1054,Dealer,IFR157,GRP515,New,RM2008,2015-01-23,2015-02-27,2016-02-27,PRD003,2015-02-27,12,2016-02-28,1.6,0.49,6500000,135850.0,2008-09-05,Transfer of Mortgage over a Lease,6500000,0.75,2,5,1300000.0,Reporting,Complied,No Error
ID1084,Commercial,IFR164,GRP517,Existing,RM2008,2015-01-24,2015-04-05,2016-04-04,PRD014,2015-04-05,24,2017-04-06,2.6,0.28,6030000,173664.0,2015-09-20,Bill of Sale over business assets,4700000,0.8,2,9,670000.0,Conditions Subsequent,Complied,Error
ID1307,Property Development,IFR160,GRP514,New,RM2034,2015-01-24,2015-04-04,2016-04-03,PRD001,2015-04-04,36,2018-04-06,2.25,0.31,3950000,101120.0,2005-06-17,Transfer of Mortgage over a Lease,18000000,1.0,5,1,3950000.0,Financial,Breached,No Error
ID1462,Property Development,IFR115,GRP514,Existing,RM2039,2015-01-28,2015-04-21,2016-04-20,PRD012,2015-04-21,12,2016-04-21,1.78,0.36,6240000,133536.00000000003,2012-09-03,Limited Guarantee and Indemnity (supported),4500000,1.0,5,8,780000.0,Conditions Subsequent,Extended,No Error
ID1025,Property Development,IFR157,GRP515,New,RM2024,2015-01-29,2015-03-17,2016-03-16,PRD001,2015-03-17,60,2020-03-20,2.19,0.41,1980000,51480.00000000001,2008-09-05,Traded Equities,10500000,0.4,3,9,220000.0,Conditions Subsequent,Breached,No Error
ID1360,Dealer,IFR103,GRP505,Straight,RM2011,2015-01-29,2015-05-07,2016-05-06,PRD020,2015-05-07,6,2015-11-06,1.64,0.37,4510000,90650.99999999999,2005-04-29,Bill of Sale over a Post Office licence,17300000,0.75,6,8,563750.0,Conditions Subsequent,Complied,No Error
ID1476,Dealer,IFR159,GRP502,New,RM2008,2015-01-30,2015-06-05,2016-06-04,PRD015,2015-06-05,24,2017-06-06,3.54,0.44,5570000,221686.0,2010-11-23,Gold Deposit,19900000,0.5,5,2,2785000.0,Financial,Non Waiver,No Error
ID1269,Property Development,IFR101,GRP504,Existing,RM2028,2015-02-01,2015-04-13,2016-04-12,PRD004,2015-04-13,12,2016-04-13,1.64,0.13,4460000,78942.0,2013-12-12,Unregistered Mortgage over an unregistered lease,13100000,0.75,5,6,743333.3333333334,Reporting,Non Waiver,No Error
ID1099,Property Development,IFR157,GRP515,Review,RM2026,2015-02-02,2015-03-06,2016-03-05,PRD003,2015-03-06,12,2016-03-06,3.18,0.29,1930000,66971.0,2008-09-05,Mortgage over Real Property (Commercial),17300000,0.75,5,9,214444.44444444444,Conditions Subsequent,Breached,No Error
ID1101,Commercial,IFR192,GRP502,Existing,RM2028,2015-02-02,2015-03-13,2016-03-12,PRD003,2015-03-13,36,2018-03-15,2.68,0.24,6210000,181332.0,2007-03-14,Mortgage over Real Property (Industrial),4100000,0.75,1,9,690000.0,Conditions Subsequent,Breached,No Error
ID1483,Commercial,IFR173,GRP500,Review,RM2001,2015-02-02,2015-03-30,2016-03-29,PRD004,2015-03-30,24,2017-03-31,3.35,0.21,4730000,168388.0,2016-05-21,Unregistered Mortgage over an unregistered lease,15900000,1.0,4,6,788333.3333333334,Reporting,Extended,No Error
ID1138,Corporate,IFR167,GRP516,Existing,RM2002,2015-02-03,2015-03-20,2016-03-19,PRD017,2015-03-20,48,2019-03-23,1.57,0.37,3500000,67900.0,2014-01-24,Bill of Sale over specific business assets,14000000,0.8,3,11,318181.8181818182,Conditions Precedent,Complied,Error
ID1359,Property Development,IFR157,GRP515,Existing,RM2023,2015-02-03,2015-03-04,2016-03-03,PRD015,2015-03-04,24,2017-03-05,3.36,0.42,6000000,226800.0,2008-09-05,Collateral Type Desc,13300000,0.75,6,10,600000.0,Conditions Subsequent,Complied,No Error
ID1324,Dealer,IFR128,GRP514,New,RM2025,2015-02-07,2015-06-05,2016-06-04,PRD018,2015-06-05,48,2019-06-08,3.46,0.23,5350000,197415.0,2011-05-08,Commercial Property,19500000,0.75,2,2,2675000.0,Financial,Complied,No Error
ID1417,Commercial,IFR126,GRP514,Existing,RM2002,2015-02-07,2015-03-07,2016-03-06,PRD004,2015-03-07,6,2015-09-06,2.01,0.28,5130000,117477.0,2001-05-21,Bill of Sale over specific business assets,5800000,0.8,1,11,466363.63636363635,Conditions Precedent,Complied,No Error
ID1460,Dealer,IFR198,GRP511,New,RM2013,2015-02-08,2015-04-19,2016-04-18,PRD007,2015-04-19,6,2015-10-19,3.21,0.49,420000,15540.000000000002,2007-09-16,Transfer of Mortgage over Real Property,17800000,0.7,6,6,70000.0,Reporting,Complied,No Error
ID1186,Corporate,IFR192,GRP502,New,RM2001,2015-02-09,2015-05-22,2016-05-21,PRD003,2015-05-22,12,2016-05-22,2.0,0.25,6120000,137700.0,2007-03-14,Mortgage over a lease,9600000,0.7,4,6,1020000.0,Reporting,Complied,No Error
ID1421,Dealer,IFR126,GRP514,Existing,RM2009,2015-02-09,2015-04-29,2016-04-28,PRD005,2015-04-29,6,2015-10-29,2.36,0.31,3670000,97989.0,2001-05-21,Mortgage over Real Property (Residential),3500000,1.0,5,9,407777.77777777775,Conditions Subsequent,Breached,Error
ID1188,Commercial,IFR102,GRP512,New,RM2015,2015-02-10,2015-05-20,2016-05-19,PRD017,2015-05-20,36,2018-05-22,2.85,0.28,2000000,62600.0,2013-03-21,Transfer of Mortgage over Real Property,13200000,1.0,3,2,1000000.0,Financial,Breached,Error
ID1457,Commercial,IFR166,GRP500,Existing,RM2006,2015-02-11,2015-04-20,2016-04-19,PRD010,2015-04-20,48,2019-04-23,2.88,0.13,4430000,133343.0,2008-07-09,Transfer of Mortgage over a Lease,14600000,0.75,6,7,632857.1428571428,Reporting,Extended,No Error
ID1121,Dealer,IFR157,GRP515,Existing,RM2029,2015-02-12,2015-03-02,2016-03-01,PRD016,2015-03-02,6,2015-09-01,2.24,0.14,3930000,93534.0,2008-09-05,Bank Guarantee by Australian Financial Institution,16500000,1.0,5,6,655000.0,Reporting,Complied,No Error
ID1262,Property Development,IFR117,GRP501,Straight,RM2016,2015-02-12,2015-05-25,2016-05-24,PRD004,2015-05-25,6,2015-11-24,3.1,0.35,3150000,108675.00000000001,2015-11-17,Traded Equities,11600000,0.5,6,5,630000.0,Reporting,Complied,No Error
ID1344,Commercial,IFR193,GRP516,Existing,RM2024,2015-02-12,2015-06-05,2016-06-04,PRD013,2015-06-05,48,2019-06-08,3.42,0.39,1360000,51816.0,2013-07-19,Traded Equities,13300000,0.8,1,7,194285.7142857143,Reporting,Complied,No Error
ID1370,Commercial,IFR166,GRP500,Straight,RM2036,2015-02-13,2015-02-28,2016-02-28,PRD004,2015-02-28,12,2016-02-29,2.27,0.49,3970000,109572.0,2008-07-09,Bill of Sale over business assets,8900000,1.0,2,7,567142.8571428572,Reporting,Complied,No Error
ID1449,Corporate,IFR146,GRP515,Existing,RM2016,2015-02-13,2015-03-13,2016-03-12,PRD012,2015-03-13,24,2017-03-14,2.91,0.28,6670000,212773.00000000003,2002-02-05,Mortgage over a lease,17100000,0.8,3,5,1334000.0,Reporting,Extended,No Error
ID1451,Property Development,IFR154,GRP514,Existing,RM2028,2015-02-13,2015-03-01,2016-02-29,PRD001,2015-03-01,6,2015-08-31,1.71,0.16,6920000,129403.99999999999,2007-03-26,Stock Mortgage,2200000,1.0,3,5,1384000.0,Reporting,Breached,No Error
ID1233,Dealer,IFR181,GRP505,Existing,RM2019,2015-02-14,2015-04-21,2016-04-20,PRD003,2015-04-21,12,2016-04-21,3.57,0.5,170000,6919.0,2004-08-16,Transfer of Mortgage over Real Property,8700000,1.0,1,9,18888.88888888889,Conditions Subsequent,Breached,No Error
ID1012,Commercial,IFR182,GRP518,Review,RM2035,2015-02-15,2015-04-11,2016-04-10,PRD009,2015-04-11,24,2017-04-12,3.64,0.18,350000,13370.000000000002,2010-05-26,Mortgage over Real Property (Commercial),11900000,1.0,6,9,38888.88888888889,Conditions Subsequent,Complied,No Error
ID1243,Property Development,IFR121,GRP500,Straight,RM2012,2015-02-16,2015-03-15,2016-03-14,PRD016,2015-03-15,12,2016-03-15,2.03,0.47,6040000,151000.0,2003-10-21,Limited Guarantee and Indemnity (unsupported),14900000,0.75,1,7,862857.1428571428,Reporting,Non Waiver,No Error
ID1321,Dealer,IFR176,GRP519,New,RM2018,2015-02-18,2015-04-05,2016-04-04,PRD018,2015-04-05,6,2015-10-05,2.64,0.17,4340000,121954.0,2004-08-09,Residential Property,21100000,0.75,2,12,361666.6666666667,Conditions Precedent,Extended,No Error
ID1254,Dealer,IFR118,GRP514,Existing,RM2036,2015-02-19,2015-06-07,2016-06-06,PRD014,2015-06-07,12,2016-06-07,2.97,0.45,5640000,192888.0,2002-06-14,Cash and Cash E,11100000,0.7,5,10,564000.0,Conditions Precedent,Breached,No Error
ID1276,Dealer,IFR176,GRP519,Review,RM2034,2015-02-20,2015-06-20,2016-06-19,PRD011,2015-06-20,36,2018-06-22,2.41,0.26,3370000,89979.0,2004-08-09,Cash and Cash E,8200000,0.7,2,5,674000.0,Reporting,Complied,No Error
ID1333,Dealer,IFR100,GRP500,Straight,RM2018,2015-02-20,2015-03-11,2016-03-10,PRD014,2015-03-11,24,2017-03-12,2.31,0.25,1080000,27648.0,2016-08-20,Mortgage over a lease,18700000,1.0,6,8,135000.0,Conditions Subsequent,Extended,No Error
ID1050,Dealer,IFR186,GRP502,Review,RM2009,2015-02-23,2015-04-25,2016-04-24,PRD005,2015-04-25,24,2017-04-26,3.33,0.41,5100000,190740.0,2002-04-13,Mortgage over Real Property (Industrial),21600000,0.75,5,12,425000.0,Conditions Precedent,Complied,No Error
ID1137,Dealer,IFR112,GRP507,Review,RM2034,2015-02-28,2015-06-02,2016-06-01,PRD002,2015-06-02,48,2019-06-05,3.63,0.28,5090000,199019.0,2007-05-23,Ships Mortgage,8600000,1.0,1,5,1018000.0,Reporting,Complied,No Error
ID1410,Dealer,IFR156,GRP505,Existing,RM2037,2015-02-28,2015-05-10,2016-05-09,PRD005,2015-05-10,24,2017-05-11,3.34,0.1,3220000,110768.0,2014-04-06,Term Deposit at the bank.,2600000,0.75,3,6,536666.6666666666,Reporting,Complied,Error
