Customer ID,Customer Name,Group ID,Group Name,Relationship Established,Customer Rating,Industry,Address
IFR100,Geiss Company,GRP500,Ventura Ltd,2016-07-31,3,Dairy,"Wagga Wagga, New South Wales, Australia"
IFR101,Jaxbean Group,GRP504,Kroger ,2013-11-22,2,Auto Dealers,"Townsville, Queensland, Australia"
IFR102,Ascend Ltd,GRP512,Aurobindo Corp,2013-03-01,2,Gas & Oil,"Brisbane, Queensland, Australia"
IFR103,Eire Corp,GRP505,TYA Corp,2005-04-09,4,Defense,"Cairns, Queensland, Australia"
IFR104,Blogtags Ltd,GRP502,Rite Ltd,2010-11-15,3,Computer Software,"Perth, Western Australia, Australia"
IFR105,Family Corp,GRP501,Guthy-Renker ,2003-12-14,3,Printing & Publishing,"Maryborough, Queensland, Australia"
IFR106,Skidoo Company,GRP507,Supervalu ,2001-12-23,2,Home Builders,"Gladstone, Queensland, Australia"
IFR107,Amerisourc Corp,GRP502,Rite Ltd,2008-02-05,3,Home Builders,"Lismore, New South Wales, Australia"
IFR108,Walgreen Corp,GRP515,Mary ,2003-12-04,3,Real Estate,"Broome, Western Australia, Australia"
IFR109,Unit Ltd,GRP505,TYA Corp,2008-05-19,3,Construction Services,"Logan City, Queensland, Australia"
IFR110,Voonyx Group,GRP505,TYA Corp,2010-04-29,3,Auto Dealers,"Port Lincoln, South Australia, Australia"
IFR111,Realcube Company,GRP502,Rite Ltd,2016-09-09,3,Mining,"Cessnock, New South Wales, Australia"
IFR112,Nexus Group,GRP507,Supervalu ,2007-05-03,1,Printing & Publishing,"Mackay, Queensland, Australia"
IFR113,Alembic Ltd,GRP516,Cantrell Ltd,2009-02-23,3,Insurance,"Katherine, Northern Territory, Australia"
IFR114,Centizu Company,GRP505,TYA Corp,2010-07-07,3,Insurance,"Clarence, Tasmania, Australia"
IFR115,Arbor Company,GRP514,Hikma ,2012-08-14,3,Real Estate,"Goulburn, New South Wales, Australia"
IFR116,Liberty Group,GRP517,Wal-Mart Corp,2002-06-22,3,Real Estate,"Fremantle, Western Australia, Australia"
